be,sein
have,haben
can,können
say/tell,sagen
give,geben
have to/must,müssen
want,wollen
make,machen
come,kommen
should,sollen
go,gehen
know,wissen
see,sehen
stand,stehen
live,leben
find,finden
lie (lie down),liegen
stay,bleiben
be called,heißen
think,denken
stand (an item),stellen
show,zeigen
take,nehmen
hear,hören
ask,fragen
stop,halten
believe,glauben
feel,fühlen
speak,sprechen
bring,bringen
like,mögen
need,brauchen
write,schreiben
pull,ziehen
play,spielen
understand,verstehen
get/receive,bekommen
drive,fahren
know (person/place),kennen
forget,vergessen
work,arbeiten
try,versuchen
put,setzen
sit,sitzen
read,lesen
become,werden
begin,beginnen
run,laufen
fall,fallen
meet,treffen
